MatrixName_cell,nb8*9,nb8*10,nb8*11,nb8*12,nb9*10,nb9*11,nb9*12,nb10*11,nb10*12,nb11*12,nb8_ab,nb8_ac,nb8_ad,nb8_ae,nb8_bc,nb8_bd,nb8_be,nb8_cd,nb8_ce,nb8_de
응답자1,7,6,4,6,6,4,4,4,6,7,6,3,3,3,4,4,4,4,4,5
응답자2,6,7,6,6,5,4,5,6,5,4,8,7,7,6,7,7,6,6,5,3
응답자3,6,3,3,4,2,2,3,5,6,6,3,4,2,1,6,4,3,3,2,4
응답자4,7,5,4,7,4,4,6,4,6,8,7,7,7,7,6,6,6,6,4,4
응답자5,7,6,6,7,5,4,6,5,7,6,5,6,5,4,6,5,4,5,4,4
응답자6,7,7,5,5,3,3,3,5,3,5,5,5,5,5,5,5,5,5,5,5
응답자7,3,4,4,4,6,6,6,5,5,5,7,8,6,4,6,4,2,3,1,3
응답자8,5,4,4,6,4,4,6,7,6,6,5,4,4,3,4,4,4,5,5,5
응답자9,4,6,3,7,7,4,8,2,6,8,5,6,4,3,6,4,3,3,2,4
응답자10,2,6,4,3,9,7,6,3,2,4,4,3,2,1,4,3,2,4,3,4
응답자11,3,3,2,7,5,6,9,6,7,6,7,8,2,3,6,2,3,1,1,4
응답자12,7,9,5,5,7,3,3,1,1,5,3,6,3,2,8,5,4,2,1,4
응답자13,7,5,5,8,3,4,6,5,7,7,5,7,8,7,7,7,7,7,7,5
응답자14,6,8,7,9,7,6,8,4,6,7,6,8,7,4,7,6,3,4,1,2
응답자15,7,6,3,5,6,4,6,4,6,6,6,3,2,1,2,2,2,2,2,8
응답자16,7,5,6,6,3,4,4,6,6,5,6,7,7,6,6,6,5,5,4,4
응답자17,7,7,5,4,5,3,2,3,3,4,4,5,4,3,6,5,4,4,3,4
응답자18,6,6,7,8,5,6,7,5,6,6,5,7,8,4,7,8,4,5,2,2
응답자19,7,7,6,6,6,6,6,4,6,6,4,4,4,4,6,3,3,4,3,4
응답자20,3,3,2,6,4,6,8,4,7,8,8,8,8,4,7,7,4,6,4,4
응답자21,7,7,6,7,6,6,6,5,6,5,7,7,7,3,4,4,3,7,4,4
응답자22,4,6,4,7,7,6,6,5,6,7,4,2,3,1,3,4,2,6,4,3
응답자23,7,7,5,9,5,3,7,3,7,9,5,3,3,1,3,3,1,5,3,3
응답자24,5,7,3,7,5,3,7,2,7,9,7,8,7,7,5,5,5,7,5,3
응답자25,6,6,6,6,6,6,6,6,6,6,7,6,6,4,6,6,4,4,4,4
응답자26,7,5,2,6,7,2,6,5,7,7,7,6,5,4,6,6,4,5,4,4
응답자27,5,6,7,7,7,5,7,4,4,6,5,4,2,2,3,2,2,4,5,7
응답자28,5,6,3,3,6,5,6,7,6,5,3,6,3,4,7,5,5,4,4,7
응답자29,8,3,7,9,2,4,6,8,9,7,4,3,7,6,4,8,7,9,8,4
응답자30,6,3,4,7,2,3,6,6,9,8,5,5,4,3,5,4,3,4,3,4
응답자31,7,6,7,8,3,4,6,6,7,6,4,6,7,2,7,8,4,6,2,2
응답자32,6,7,5,8,6,4,7,3,6,8,4,4,3,2,5,4,3,4,3,4
응답자33,6,6,4,6,5,4,6,3,6,7,3,4,2,2,6,3,3,3,4,5
응답자34,4,3,3,6,5,5,6,5,6,6,6,4,4,4,4,4,4,5,6,6
응답자35,7,5,5,5,4,4,5,5,6,6,5,5,5,5,5,5,5,5,5,5
응답자36,7,8,7,7,8,5,5,5,7,7,7,5,4,4,4,4,4,5,5,7
응답자37,7,6,7,8,3,3,4,6,7,7,5,3,3,2,3,3,3,5,5,5
응답자38,3,3,5,7,5,7,8,5,7,7,7,3,7,3,4,7,3,8,4,3
응답자39,7,7,7,7,7,7,5,5,5,5,7,4,5,6,5,3,3,5,5,7
응답자40,7,6,4,6,3,3,5,4,6,8,6,4,4,3,4,4,3,5,5,5
응답자41,9,7,5,5,6,5,7,5,7,6,5,4,4,4,4,4,5,5,5,5
응답자42,7,6,6,6,4,3,5,4,5,7,5,5,6,4,5,4,4,6,4,4
응답자43,3,4,3,4,6,5,6,4,5,6,5,4,3,3,4,3,3,4,3,5
응답자44,7,6,7,7,7,6,7,6,7,7,5,7,6,4,6,6,4,6,4,4
응답자45,6,5,4,6,4,4,6,5,6,6,5,6,6,6,6,6,6,6,5,5
응답자46,4,7,4,3,7,5,4,3,3,3,4,7,2,2,7,3,3,2,2,6
응답자47,3,4,4,3,6,4,4,4,3,6,6,3,4,2,2,2,2,4,4,4
응답자48,7,4,6,8,3,6,7,7,8,6,6,7,8,9,6,7,8,6,7,6
응답자49,7,8,7,9,6,6,6,4,5,6,5,7,7,5,7,7,4,6,3,2
응답자50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
응답자51,7,4,6,6,5,7,6,7,6,3,7,6,6,4,4,6,3,7,4,4
응답자52,4,6,5,6,6,4,6,4,6,6,6,6,4,4,5,5,4,5,4,4
응답자53,7,6,7,7,3,4,3,6,6,6,3,3,7,4,7,9,6,7,6,3
응답자54,4,8,6,9,8,6,9,4,6,8,6,7,9,8,6,8,7,7,6,3
응답자55,3,4,1,2,6,3,4,2,3,7,6,4,3,2,3,2,1,4,3,4
